1	smile	미소	감정
2	laugh	웃음	감정
3	admire	감탄	감정
4	sad	슬픔	감정
5	surprised	놀람	감정
6	flustered	당황	감정
7	shy	부끄러움	감정
8	question	의문	감정
9	anxious	불안	감정
10	annoyed	짜증	감정
11	angry	분노	감정
12	contempt	경멸	감정
13	disgust	혐오	감정
14	submit	굴복	감정
15	languid	나른함	감정
16	confident	자신감	감정
17	affection	애정	감정
18	heat	발정	감정
19	aegyo	애교	감정
20	kiss	키스	감정
21	deepkiss	딥키스	감정
22	seduce	유혹	감정
23	pregnant	임신	감정
24	full-pregnant	만삭임신	감정
25	wedding	결혼	감정
26	parenting	육아출산	감정
31	armpit	겨드랑이보여주기	nsfw
32	butt	엉덩이보여주기	nsfw
33	masturbate	자위	nsfw
34	masturbate-climax	자위절정	nsfw
35	breast-touch	가슴만지기	nsfw
36	breast-suck	가슴빨기	nsfw
37	fingering	핑거링	nsfw
38	fingering-climax	핑거링절정	nsfw
39	cunnilingus	커널링구스	nsfw
40	cunnilingus-climax	커널링구스절정	nsfw
41	smell-cock	자지냄새맡기	nsfw
42	cock-kiss	자지키스	nsfw
43	fellatio	펠라치오	nsfw
44	fellatio-intense	펠라치오격렬	nsfw
45	fellatio-cum	펠라치오사정	nsfw
46	show-cum	정액보여주기	nsfw
47	drink-cum	정액마시기	nsfw
48	paizuri	파이즈리	nsfw
49	paizuri-cum	파이즈리사정	nsfw
50	missionary	정상위	nsfw
51	missionary-cum	정상위사정	nsfw
52	doggy	후배위	nsfw
53	doggy-cum	후배위사정	nsfw
54	cowgirl	기승위	nsfw
55	cowgirl-cum	기승위사정	nsfw
56	spooning	측위	nsfw
57	spooning-cum	측위사정	nsfw
58	suspended	들박	nsfw
59	suspended-cum	들박사정	nsfw
60	mating-press	교배프레스	nsfw
61	mating-press-cum	교배프레스사정	nsfw
62	amazon	아마존	nsfw
63	wall-doggy	벽에기댄후배위	nsfw
64	footjob	풋잡	nsfw
65	footjob-cum	풋잡사정	nsfw
66	afterglow	섹스후	nsfw
67	bound-toy	결박로터자위	nsfw
68	pillow-talk	필로우토크	nsfw
69	spanking	스팽킹	nsfw
70	facesitting	페이스시팅	nsfw
71	cock-stomp	자지밟기	nsfw
72	rimjob	림잡	nsfw
73	handjob	핸드잡	nsfw
74	cock-compare	자지크기비교	nsfw
75	cock-measure	자지크기측정	nsfw
76	cock-injection	자지에주사놓기	nsfw
77	chastity	정조대채우기	nsfw
78	pegging	스트랩온역삽입	nsfw
79	anal	애널섹스	nsfw
80	anal-cum	애널섹스사정	nsfw
81	hug-cum	껴안고사정	nsfw
91	ntr-doggy	후배위NTR	ntr
92	ntr-cowgirl	기승위NTR	ntr
93	ntr-fellatio	펠라치오NTR	ntr
